X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
0.092646,51.57247,0,0,149,17,2018/01/29 09:54:19+00,,,,,,,,,,,,,,,,,,,,,
0.092641,51.572432,0,0,150,17,2018/01/29 09:54:20+00,,,,,,,,,,,,,,,,,,,,,
0.092634,51.572393,0,0,151,17.1,2018/01/29 09:54:21+00,,,,,,,,,,,,,,,,,,,,,
0.092643,51.57227,0,0,152,17.2,2018/01/29 09:54:24+00,,,,,,,,,,,,,,,,,,,,,
0.09266,51.572021,0,0,153,17.8,2018/01/29 09:54:30+00,,,,,,,,,,,,,,,,,,,,,
0.092658,51.571785,0,0,154,17.8,2018/01/29 09:54:37+00,,,,,,,,,,,,,,,,,,,,,
0.092664,51.57144,0,0,155,16.4,2018/01/29 09:54:45+00,,,,,,,,,,,,,,,,,,,,,
0.092664,51.571212,0,0,156,18.3,2018/01/29 09:54:51+00,,,,,,,,,,,,,,,,,,,,,
0.092671,51.571188,0,0,157,18.2,2018/01/29 09:54:52+00,,,,,,,,,,,,,,,,,,,,,
0.092752,51.571159,0,0,158,18,2018/01/29 09:54:54+00,,,,,,,,,,,,,,,,,,,,,
0.092858,51.571159,0,0,159,17.9,2018/01/29 09:54:56+00,,,,,,,,,,,,,,,,,,,,,
0.092969,51.571161,0,0,160,17.8,2018/01/29 09:54:58+00,,,,,,,,,,,,,,,,,,,,,
0.093435,51.571158,0,0,161,17.3,2018/01/29 09:55:05+00,,,,,,,,,,,,,,,,,,,,,
0.094032,51.571165,0,0,162,17.1,2018/01/29 09:55:13+00,,,,,,,,,,,,,,,,,,,,,
0.094506,51.571165,0,0,163,17.1,2018/01/29 09:55:19+00,,,,,,,,,,,,,,,,,,,,,
0.094662,51.571165,0,0,164,17.1,2018/01/29 09:55:21+00,,,,,,,,,,,,,,,,,,,,,
0.09474,51.571166,0,0,165,17.1,2018/01/29 09:55:22+00,,,,,,,,,,,,,,,,,,,,,
0.095112,51.571163,0,0,166,17.1,2018/01/29 09:55:27+00,,,,,,,,,,,,,,,,,,,,,
0.095571,51.571178,0,0,167,17,2018/01/29 09:55:34+00,,,,,,,,,,,,,,,,,,,,,
0.095707,51.571174,0,0,168,17,2018/01/29 09:55:38+00,,,,,,,,,,,,,,,,,,,,,
0.095752,51.571172,0,0,169,17,2018/01/29 09:56:11+00,,,,,,,,,,,,,,,,,,,,,
0.095813,51.571159,0,0,170,17,2018/01/29 09:56:13+00,,,,,,,,,,,,,,,,,,,,,
0.095904,51.571142,0,0,171,17,2018/01/29 09:56:16+00,,,,,,,,,,,,,,,,,,,,,
0.095951,51.571142,0,0,172,17,2018/01/29 09:56:17+00,,,,,,,,,,,,,,,,,,,,,
0.096004,51.571141,0,0,173,17,2018/01/29 09:56:18+00,,,,,,,,,,,,,,,,,,,,,
0.096178,51.57113,0,0,174,17,2018/01/29 09:56:21+00,,,,,,,,,,,,,,,,,,,,,
0.096369,51.571112,0,0,175,17,2018/01/29 09:56:24+00,,,,,,,,,,,,,,,,,,,,,
0.096781,51.571079,0,0,176,16.4,2018/01/29 09:56:30+00,,,,,,,,,,,,,,,,,,,,,
0.097411,51.571039,0,0,177,16,2018/01/29 09:56:38+00,,,,,,,,,,,,,,,,,,,,,
0.097726,51.571029,0,0,178,16,2018/01/29 09:56:42+00,,,,,,,,,,,,,,,,,,,,,
0.097809,51.571029,0,0,179,16,2018/01/29 09:56:43+00,,,,,,,,,,,,,,,,,,,,,
0.09813,51.571013,0,0,180,16,2018/01/29 09:56:47+00,,,,,,,,,,,,,,,,,,,,,
0.098361,51.570995,0,0,181,16.1,2018/01/29 09:56:50+00,,,,,,,,,,,,,,,,,,,,,
0.098581,51.570975,0,0,182,16.4,2018/01/29 09:56:53+00,,,,,,,,,,,,,,,,,,,,,
0.098999,51.570956,0,0,183,17.1,2018/01/29 09:56:59+00,,,,,,,,,,,,,,,,,,,,,
0.099328,51.570936,0,0,184,18,2018/01/29 09:57:04+00,,,,,,,,,,,,,,,,,,,,,
0.099463,51.570921,0,0,185,17.9,2018/01/29 09:57:06+00,,,,,,,,,,,,,,,,,,,,,
0.099678,51.570908,0,0,186,17.8,2018/01/29 09:57:09+00,,,,,,,,,,,,,,,,,,,,,
0.099977,51.570893,0,0,187,17.9,2018/01/29 09:57:13+00,,,,,,,,,,,,,,,,,,,,,
0.10005,51.570888,0,0,188,17.9,2018/01/29 09:57:14+00,,,,,,,,,,,,,,,,,,,,,
0.100267,51.570877,0,0,189,18,2018/01/29 09:57:17+00,,,,,,,,,,,,,,,,,,,,,
0.100417,51.57087,0,0,190,18,2018/01/29 09:57:19+00,,,,,,,,,,,,,,,,,,,,,
0.101067,51.570815,0,0,191,17.9,2018/01/29 09:57:27+00,,,,,,,,,,,,,,,,,,,,,
0.101235,51.570807,0,0,192,17.9,2018/01/29 09:57:29+00,,,,,,,,,,,,,,,,,,,,,
0.101558,51.570795,0,0,193,18,2018/01/29 09:57:33+00,,,,,,,,,,,,,,,,,,,,,
0.101636,51.570789,0,0,194,17.9,2018/01/29 09:57:34+00,,,,,,,,,,,,,,,,,,,,,
0.102136,51.570744,0,0,195,17.4,2018/01/29 09:57:40+00,,,,,,,,,,,,,,,,,,,,,
0.102307,51.570735,0,0,196,17.2,2018/01/29 09:57:42+00,,,,,,,,,,,,,,,,,,,,,
0.102722,51.570701,0,0,197,17,2018/01/29 09:57:47+00,,,,,,,,,,,,,,,,,,,,,
0.103045,51.570671,0,0,198,17,2018/01/29 09:57:51+00,,,,,,,,,,,,,,,,,,,,,
0.103206,51.570665,0,0,199,17,2018/01/29 09:57:53+00,,,,,,,,,,,,,,,,,,,,,
0.103365,51.570648,0,0,200,17,2018/01/29 09:57:55+00,,,,,,,,,,,,,,,,,,,,,
0.103525,51.570633,0,0,201,17,2018/01/29 09:57:57+00,,,,,,,,,,,,,,,,,,,,,
0.10369,51.570629,0,0,202,17,2018/01/29 09:57:59+00,,,,,,,,,,,,,,,,,,,,,
